Match,ME,MI,MS,MA,FE,FI,FS,FA
0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P0,I,S,T,J,E,N,T,J
1,E,N,F,P,E,N,F,J
1,I,S,F,J,I,S,F,P
0,E,S,T,P,I,S,T,P
